name, calories, protein, fat, carbs, ingredients(amount)
protein oat base, 464.00, 18.00, 14.00, 64.00, protein oats(1/3)_chia(2)_cashew milk(1/2)_miel(1)
tuna toast, 695.00, 34.00, 10.00, 71.00, atun(1/3)_mayonesa(1/4)_pan integral(5/2)
alfredo oats, 769.00, 32.50, 31.00, 94.00, protein oat base(1)_greek yogurt(1/8)_granola(1/3)_pumpkin seed(1/8)
sofia oats, 609.00, 23.50, 17.00, 88.00, protein oat base(1)_greek yogurt(1/8)_granola(1/3)_blueberry(20)
stroop waffle, 140.00, 1.00, 6.00, 21.00,
tejas, 104.00, 1.00, 1.00, 22.00,
five guys cheeseburger, 980.00, 81.00, 55.00, 40.00,
five guys double cheeseburger, 1276.00, 155.00, 55.00, 40.00,
rotini tomato turkey parmesan, 717.00, 45.50, 20.00, 85.50, parmesan cheese(1)_rao tomato sauce(1/8)_ground turkey(4)_rao rotini(2)
pollo con garbanzo, 555.00, 52.00, 9.00, 45.00, pollo(1)_garbanzo(1)
